epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,569.943,1.707,0.56689,0.8256,1.43707,0.000184883,0.000184883,0.000184883
2,1148.89,1.01149,0.58225,0.8198,1.58082,0.000358,0.000358,0.000358
3,1710.94,0.62297,0.55154,0.81126,1.93275,0.000518884,0.000518884,0.000518884
4,2274.3,0.4142,0.56621,0.82184,2.06017,0.000500956,0.000500956,0.000500956
5,2836.38,0.30073,0.56894,0.79113,2.45683,0.000482608,0.000482608,0.000482608
6,3398.87,0.24185,0.55392,0.80444,2.35152,0.00046426,0.00046426,0.00046426
7,3961.94,0.20265,0.557,0.79693,2.65657,0.000445912,0.000445912,0.000445912
8,4524.71,0.17181,0.56007,0.79454,2.71435,0.000427564,0.000427564,0.000427564
9,5087.08,0.15896,0.54676,0.80137,2.78614,0.000409216,0.000409216,0.000409216
10,5649.47,0.13798,0.55904,0.81297,2.85189,0.000390868,0.000390868,0.000390868
11,6212.26,0.14483,0.57372,0.80341,2.72557,0.00037252,0.00037252,0.00037252
12,6773.9,0.12278,0.5686,0.79761,2.88813,0.000354172,0.000354172,0.000354172
